,0
168,9.728969e-09
169,7.024202e-08
170,7.887157e-08
171,2.2931216e-08
172,4.1748812e-08
173,3.8115232e-08
174,4.901913e-08
175,3.5162847e-07
176,1.891447e-08
177,-1.4221333e-08
178,8.610441e-09
179,3.8652928e-08
180,1.8364971e-09
181,-2.4358547e-08
182,4.784228e-08
183,9.183357e-08
184,7.20273e-08
185,9.46761e-08
186,6.923617e-08
187,4.2672543e-08
188,5.467619e-08
189,1.3784274e-08
190,4.0453774e-08
191,5.1947584e-08
192,2.3978235e-08
193,6.1142465e-08
194,6.264733e-08
195,-1.1455067e-05
196,4.5608804e-08
197,2.9116219e-08
198,5.6369593e-08
199,4.4851276e-08
200,6.464958e-06
201,4.44136e-08
202,5.2888634e-08
203,8.839072e-09
204,3.208074e-08
205,5.7168926e-08
206,3.186863e-08
207,9.436195e-08
208,2.8603125e-08
209,3.828902e-08
210,-1.7039294e-08
211,1.0576284e-06
212,1.959308e-08
213,-9.1122745e-09
214,1.4543515e-08
215,1.06780924e-07
216,3.335208e-08
217,9.989839e-08
218,8.713164e-08
219,1.1377335e-07
220,1.0940825e-07
221,4.293846e-08
222,1.5982796e-08
223,7.2365688e-06
224,4.0362656e-06
225,1.3301519e-08
226,2.2927424e-08
227,1.3597055e-07
228,9.822342e-08
229,6.0053196e-08
230,6.530189e-08
231,9.526537e-08
232,4.6463587e-08
233,3.3125648e-08
234,6.495379e-08
235,-3.1363945e-09
236,3.6784673e-08
237,1.2674996e-08
238,3.3345398e-08
239,4.4963585e-08
240,7.2728206e-08
241,7.7383335e-09
242,8.4840686e-08
243,-9.626931e-09
244,1.25828885e-08
245,7.0473504e-08
246,1.1999819e-07
247,6.930476e-08
248,7.864101e-08
249,8.4936255e-06
250,1.0305005e-07
251,-1.3456274e-05
252,6.716567e-08
253,1.8950223e-08
254,3.1378733e-08
255,7.386211e-08
256,7.003081e-08
257,-3.48767e-08
258,-2.873648e-08
259,4.6219164e-08
260,2.0418229e-08
261,5.846752e-08
262,1.0392164e-07
263,1.0458193e-07
264,1.5568814e-08
265,3.6345295e-08
266,7.778203e-09
267,-1.4862071e-08
268,2.1449498e-08
269,4.355525e-08
270,6.7112545e-08
271,9.325682e-09
272,8.963094e-08
273,3.7738374e-08
274,2.4841796e-08
275,2.0570615e-08
276,1.3705121e-08
277,4.24897e-08
278,6.4557184e-08
279,2.4266273e-08
280,7.3890014e-08
281,7.805185e-08
282,1.4071877e-07
283,5.3892283e-08
284,6.429477e-08
285,5.8449587e-08
286,6.7088366e-09
287,8.0852715e-08
288,-4.6202753e-09
289,1.8797522e-08
290,5.9429297e-08
291,3.4337887e-08
292,1.9642238e-08
293,3.1578725e-08
294,1.1205626e-07
295,1.3560765e-07
296,6.184353e-08
297,3.942016e-08
298,-9.114369e-09
299,-5.5674693e-08
300,1.7659094e-08
301,6.9630794e-08
302,7.5195665e-08
303,3.3220356e-08
304,2.1756884e-08
305,6.091461e-08
306,1.2053048e-08
307,-2.3603285e-08
308,2.540196e-08
309,3.6269487e-08
310,1.6184297e-08
311,2.6030468e-08
312,3.7506265e-08
313,5.6595947e-08
314,1.04579456e-07
315,2.7457636e-08
316,4.798944e-08
317,5.241689e-08
318,-8.357506e-09
319,-1.7578888e-08
320,-1.27800615e-08
321,-4.392861e-08
322,-3.0978269e-09
323,3.8859294e-08
324,1.9444588e-08
325,-4.389315e-06
326,1.0505008e-07
327,7.68584e-08
328,3.2690224e-08
329,1.704194e-08
330,1.2072994e-07
331,9.782302e-10
332,5.390017e-08
333,6.001608e-08
